Firehose_annotation	converter	data_category	data_type	experimental_strategy	platform	center_namespace	tags	workflow_type
clinical__biospecimen	clinical	Biospecimen	Biospecimen Supplement					
clinical__primary	clinical	Clinical	Clinical Supplement					
CNV__unfiltered__snp6	seg_broad	Copy Number Variation	Copy Number Segment	Genotyping Array	Affymetrix SNP 6.0			DNAcopy
CNV__snp6	seg_broad	Copy Number Variation	Masked Copy Number Segment	Genotyping Array	Affymetrix SNP 6.0			DNAcopy
methylation__HM27	copy	DNA Methylation	Methylation Beta Value	Methylation Array	Illumina Human Methylation 27			Liftover
methylation__HM450	copy	DNA Methylation	Methylation Beta Value	Methylation Array	Illumina Human Methylation 450			Liftover
miR__geneExp	tsv2magetab	Transcriptome Profiling	miRNA Expression Quantification	miRNA-Seq				BCGSC miRNA Profiling
miR__isoformExp	tsv2idtsv	Transcriptome Profiling	Isoform Expression Quantification	miRNA-Seq				BCGSC miRNA Profiling
mRNA__geneExp__FPKM	unzip_fpkm2magetab	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq				HTSeq - FPKM
mRNA__geneExpNormed__FPKM	unzip_fpkm2magetab	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq				HTSeq - FPKM-UQ
mRNA__counts__FPKM	unzip_fpkm2magetab	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq				HTSeq - Counts
SNV__mutect	maf	Simple Nucleotide Variation	Masked Somatic Mutation	WXS				MuTect2 Variant Aggregation and Masking
