annotation_id	converter	num_header_columns	num_data_columns
clin__bio__genome_wustl_edu__Level_1__biospecimen__clin	clinical	NA	NA
clin__bio__intgen_org__Level_1__biospecimen__clin	clinical	NA	NA
clin__bio__intgen_org__Level_1__clinical__clin	clinical	NA	NA
clin__bio__nationwidechildrens_org__Level_1__biospecimen__clin	clinical	NA	NA
clin__bio__nationwidechildrens_org__Level_1__clinical__clin	clinical	NA	NA
clin__bio__nationwidechildrens_org__Level_1__omf__clin	clinical	NA	NA
clin__bio__nationwidechildrens_org__Level_1__ssf__clin	clinical	NA	NA
cna__cgh_1x1m_g4447a__mskcc_org__Level_1__feature_extraction__data	copy	NA	NA
cna__cgh_1x1m_g4447a__mskcc_org__Level_2__bioassay_data_transformation__data	magetab_data_matrix	1	1
cna__cgh_1x1m_g4447a__mskcc_org__Level_3__segmentation_data_computation__seg	seg_mskcc2	NA	NA
cna__hg_cgh_244a__hms_harvard_edu__Level_1__image_acquisition__data	skip	NA	NA
cna__hg_cgh_244a__hms_harvard_edu__Level_2__lowess_global_normalization__data	magetab_data_matrix	1	1
cna__hg_cgh_244a__hms_harvard_edu__Level_3__segmentation__seg	seg_harvard	NA	NA
cna__hg_cgh_244a__mskcc_org__Level_1__feature_extraction__data	copy	NA	NA
cna__hg_cgh_244a__mskcc_org__Level_2__bioassay_data_transformation__data	magetab_data_matrix	1	1
cna__hg_cgh_244a__mskcc_org__Level_3__segmentation_data_computation__seg	seg_mskcc2	NA	NA
cna__hg_cgh_415k_g4124a__hms_harvard_edu__Level_1__image_acquisition__data	skip	NA	NA
cna__hg_cgh_415k_g4124a__hms_harvard_edu__Level_2__lowess_global_normalization__data	magetab_data_matrix	1	1
cna__hg_cgh_415k_g4124a__hms_harvard_edu__Level_3__segmentation__seg	seg_harvard	NA	NA
exon__huex_1_0_st_v2__lbl_gov__Level_1__scan__data	skip	NA	NA
exon__huex_1_0_st_v2__lbl_gov__Level_2__quantile_normalization_exon__data	magetab_data_matrix	1	1
exon__huex_1_0_st_v2__lbl_gov__Level_3__quantile_normalization_gene__data	magetab_data_matrix	1	1
exon__huex_1_0_st_v2__lbl_gov__Level_3__segmented_as_firma__data	magetab_data_matrix	1	1
methylation__humanmethylation27__jhu_usc_edu__Level_1__within_bioassay_data_set_function__data	skip	1	11
methylation__humanmethylation27__jhu_usc_edu__Level_2__within_bioassay_data_set_function__data	magetab_data_matrix	1	3
methylation__humanmethylation27__jhu_usc_edu__Level_3__within_bioassay_data_set_function__data	magetab_data_matrix	1	4
methylation__humanmethylation27__jhu_usc_edu__Level_NA__hybridization__data	skip	NA	NA
methylation__illuminadnamethylation_oma002_cpi__jhu_usc_edu__Level_1__within_bioassay_data_set_function__data	magetab_data_matrix	1	3
methylation__illuminadnamethylation_oma002_cpi__jhu_usc_edu__Level_2__within_bioassay_data_set_function__data	magetab_data_matrix	1	1
